Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Kevin Durant,39,55.95,12.62,9.98,1.51,2.83,6.59,35.42,19.78,13.75,12.81,9.04,3.39,1.53
Kevin Durant,8,-15.03,-3.7,-2.02,-0.17,-0.75,-1.44,-9.25,-5.26,-3.47,-2.89,-2.95,-1.62,-1.96
Jalen Duren,67,9.71,9.49,1.17,0.75,0.96,1.49,6.29,4.16,2.45,1.49,0.0,0.0,0.26
Tari Eason,82,5.94,3.83,0.7,0.77,0.38,0.77,5.11,2.3,1.15,0.83,1.34,0.45,0.1
Anthony Edwards,79,27.47,6.48,4.91,1.79,0.78,3.68,21.77,9.94,5.92,4.47,8.15,3.01,0.31
Kessler Edwards,36,2.93,1.78,0.63,0.42,0.21,0.42,2.72,1.05,0.42,0.31,1.57,0.52,0.1
Kessler Edwards,14,1.55,1.41,0.14,0.28,0.14,0.42,2.39,0.56,0.14,0.14,1.27,0.14,0.08
Kessler Edwards,22,4.9,2.64,1.26,0.63,0.25,0.5,3.89,1.76,0.75,0.63,2.51,0.88,0.31
Keon Ellis,16,1.8,0.6,0.48,0.36,0.12,0.12,1.2,0.48,0.48,0.36,0.96,0.48,0.14
Joel Embiid,66,51.36,15.83,6.52,1.55,2.64,5.28,31.19,17.07,18.16,15.52,4.66,1.55,0.85
Drew Eubanks,78,4.51,3.69,0.89,0.34,0.89,0.61,2.94,1.84,1.09,0.75,0.14,0.07,0.11
Bruno Fernando,39,4.21,3.78,0.86,0.22,0.97,0.65,3.13,1.62,1.4,0.97,0.11,0.0,0.19
Bruno Fernando,31,4.86,4.63,1.19,0.24,1.19,0.71,3.56,1.78,1.66,1.19,0.0,0.0,0.3
Bruno Fernando,8,4.34,2.42,0.13,0.0,0.51,0.77,3.06,1.79,1.02,0.77,0.51,0.0,0.64
Dorian Finney-Smith,66,8.43,4.88,1.52,0.81,0.51,0.91,7.72,3.05,0.91,0.71,5.18,1.73,0.15
Dorian Finney-Smith,40,13.06,6.75,2.15,1.44,0.72,1.29,11.2,4.59,1.44,1.15,7.75,2.73,0.4
Dorian Finney-Smith,26,11.57,7.88,2.57,1.13,0.96,1.61,11.73,4.18,1.13,0.96,7.55,2.25,0.56
Malachi Flynn,53,3.18,0.97,0.9,0.28,0.07,0.35,3.18,1.11,0.41,0.35,1.73,0.62,0.06
Simone Fontecchio,52,5.91,1.6,0.75,0.28,0.19,0.75,5.63,2.07,0.75,0.66,3.47,1.13,0.08
Bryn Forbes,25,4.28,0.71,0.83,0.36,0.12,0.59,3.92,1.43,0.71,0.71,2.14,0.71,0.13
Trent Forrest,23,2.56,1.78,1.89,0.33,0.11,0.78,2.89,1.22,0.11,0.11,0.11,0.0,0.19
Michael Foster Jr.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Fournier,27,8.2,2.42,1.75,0.81,0.13,1.08,8.2,2.82,1.08,0.94,5.65,1.75,0.26
De'Aaron Fox,73,18.57,3.12,4.53,0.82,0.22,1.86,13.52,6.91,4.46,3.49,3.71,1.19,0.25
Markelle Fultz,60,11.59,3.23,4.72,1.24,0.33,1.9,9.36,4.8,1.99,1.57,1.24,0.41,0.24
Wenyen Gabriel,68,3.75,2.87,0.34,0.27,0.34,0.48,2.59,1.57,0.82,0.55,0.34,0.07,0.08
Daniel Gafford,78,6.79,4.23,0.83,0.3,0.98,0.83,3.85,2.79,1.81,1.21,0.0,0.0,0.14
Darius Garland,69,15.36,1.92,5.55,0.85,0.07,2.06,11.66,5.41,3.34,2.85,4.27,1.71,0.21
Usman Garuba,75,1.46,2.0,0.44,0.29,0.19,0.29,1.17,0.54,0.29,0.19,0.39,0.15,0.04
Luka Garza,28,7.14,2.53,0.66,0.11,0.11,0.55,4.5,2.53,2.09,1.65,1.54,0.55,0.27
Rudy Gay,56,4.38,2.44,0.84,0.25,0.25,0.59,4.3,1.6,0.76,0.67,1.94,0.51,0.08
Paul George,56,35.39,9.07,7.58,2.23,0.59,4.61,26.62,12.19,7.88,6.84,11.3,4.16,0.62
Taj Gibson,49,2.49,1.39,0.51,0.22,0.15,0.37,1.91,0.95,0.66,0.44,0.37,0.15,0.07
Josh Giddey,76,15.09,7.18,5.64,0.73,0.36,2.54,13.36,6.45,1.73,1.27,2.82,0.91,0.25
Shai Gilgeous-Alexander,68,27.61,4.22,4.84,1.41,0.88,2.46,17.85,9.15,9.58,8.62,2.2,0.79,0.4
Anthony Gill,59,1.75,0.9,0.32,0.05,0.11,0.16,1.17,0.64,0.58,0.43,0.27,0.05,0.04
Jacob Gilyard,1,-32.06,-42.75,-74.81,-32.06,-0.0,-21.37,-32.06,-10.69,-0.0,-0.0,-32.06,-10.69,-138.93
Rudy Gobert,70,15.6,13.51,1.4,0.93,1.63,1.98,9.08,5.94,5.71,3.61,0.0,0.0,0.37
Jordan Goodwin,62,4.66,2.33,1.91,0.64,0.28,0.64,4.03,1.77,0.78,0.64,1.34,0.42,0.11
Aaron Gordon,68,12.14,4.92,2.23,0.6,0.6,1.04,8.34,4.69,3.43,2.09,1.86,0.67,0.22
Eric Gordon,69,9.68,1.48,2.11,0.47,0.31,1.17,7.41,3.28,1.95,1.64,4.06,1.48,0.12
