Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Anthony Edwards,72,19.3,4.7,2.9,1.1,0.5,2.2,16.8,7.0,3.8,2.9,7.2,2.4,0.22
Carsen Edwards,31,4.0,0.8,0.5,0.2,0.0,0.2,3.6,1.5,0.4,0.4,2.0,0.6,0.1
CJ Elleby,30,2.3,1.1,0.3,0.2,0.1,0.2,2.2,0.8,0.5,0.4,1.1,0.2,0.08
Henry Ellenson,2,7.5,6.0,2.5,0.0,0.0,0.0,7.0,2.5,2.0,1.5,4.5,1.0,5.5
Wayne Ellington,46,9.6,1.8,1.5,0.4,0.2,0.7,7.3,3.2,0.8,0.6,6.0,2.5,0.18
Joel Embiid,51,28.5,10.6,2.8,1.0,1.4,3.1,17.6,9.0,10.7,9.2,3.0,1.1,0.61
James Ennis III,41,8.4,4.0,1.5,0.8,0.2,0.9,5.9,2.8,2.1,1.7,2.5,1.1,0.26
Drew Eubanks,54,5.8,4.5,0.8,0.3,0.9,0.8,3.8,2.1,2.0,1.4,0.0,0.0,0.17
Dante Exum,6,3.8,2.8,2.2,0.7,0.3,1.2,4.3,1.7,0.3,0.2,1.8,0.3,0.98
Tacko Fall,19,2.5,2.7,0.2,0.1,1.1,0.3,1.5,1.1,0.8,0.3,0.0,0.0,0.28
Derrick Favors,68,5.4,5.5,0.6,0.5,1.0,0.5,3.6,2.3,1.2,0.9,0.0,0.0,0.16
Cristiano FelÃ­cio,18,1.3,1.4,0.5,0.2,0.0,0.2,0.7,0.4,0.9,0.5,0.1,0.0,0.14
Terrance Ferguson,13,0.2,0.1,0.2,0.1,0.0,0.3,0.5,0.1,0.0,0.0,0.4,0.0,-0.01
Bruno Fernando,33,1.5,2.4,0.3,0.1,0.1,0.6,1.3,0.5,0.7,0.5,0.1,0.0,0.08
Yogi Ferrell,10,5.6,1.9,2.2,0.7,0.3,0.3,5.7,2.0,0.9,0.7,2.8,0.9,0.65
Yogi Ferrell,2,9.5,3.5,2.5,1.5,0.5,1.5,10.5,4.0,1.0,0.0,4.5,1.5,4.25
Yogi Ferrell,8,4.6,1.5,2.1,0.5,0.3,0.0,4.5,1.5,0.9,0.9,2.4,0.8,0.75
Dorian Finney-Smith,60,9.8,5.4,1.7,0.9,0.4,0.8,7.8,3.7,0.7,0.5,5.0,2.0,0.22
Malik Fitts,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.7,0.3,0.43
Malachi Flynn,47,7.5,2.5,2.9,0.8,0.1,0.9,7.2,2.7,1.2,1.0,3.6,1.1,0.17
Bryn Forbes,70,10.0,1.6,0.6,0.3,0.0,0.6,7.6,3.6,0.9,0.7,4.9,2.2,0.11
Trent Forrest,30,2.9,1.5,1.5,0.3,0.1,0.7,2.4,1.1,0.6,0.6,0.9,0.2,0.14
Evan Fournier,42,17.1,3.0,3.4,1.1,0.5,1.7,12.9,5.9,3.3,2.6,6.7,2.8,0.37
Evan Fournier,26,19.7,2.9,3.7,1.0,0.3,2.1,14.2,6.5,4.7,3.8,7.2,2.8,0.65
Evan Fournier,16,13.0,3.3,3.1,1.3,0.6,1.2,10.8,4.8,0.9,0.6,5.9,2.8,0.86
De'Aaron Fox,58,25.2,3.5,7.2,1.5,0.5,3.0,19.1,9.1,7.2,5.2,5.5,1.8,0.39
Robert Franks,7,6.1,2.0,0.7,0.4,0.4,0.3,4.0,1.9,1.9,1.7,2.1,0.7,1.0
Tim Frazier,5,1.6,1.6,3.2,0.4,0.2,0.8,4.0,0.6,1.2,0.4,1.6,0.0,0.4
Enes Freedom,72,11.2,11.0,1.2,0.5,0.7,1.1,7.8,4.7,2.3,1.8,0.1,0.0,0.28
Markelle Fultz,8,12.9,3.1,5.4,1.0,0.3,2.3,13.0,5.1,2.4,2.1,2.0,0.5,1.52
Wenyen Gabriel,21,3.4,2.6,0.5,0.4,0.4,0.7,2.9,1.1,0.8,0.5,1.5,0.6,0.21
Daniel Gafford,54,7.0,4.3,0.5,0.5,1.4,0.8,4.2,2.9,2.0,1.3,0.0,0.0,0.2
Daniel Gafford,31,4.7,3.3,0.5,0.4,1.1,0.7,2.8,1.9,1.3,0.9,0.0,0.0,0.26
